numfactura: F24000295
data: 2024-02-26
adreca: S'LECTRIC, S.L.CALLE DE LA MORA, 54PARQUE EMPRESARIAL GRANDLAND08918 - BADALONA (BARCELONA)BARCELONA
compte: ES0421000806200200818774
datavenciment: 2024-02-01
import: 554.18

numfactura: F24000295
data: 2024-02-26
adreca: S'LECTRIC, S.L.CALLE DE LA MORA, 54PARQUE EMPRESARIAL GRANDLAND08918 - BADALONA (BARCELONA)BARCELONA
compte: ES0421000806200200818774
datavenciment: 2024-02-01
import: 0.00

numfactura: F24000383
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 803.21

numfactura: F24000384
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 1048.84

numfactura: F24000385
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 1048.84

numfactura: F24000386
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 1048.84

numfactura: F24000387
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 607.04

numfactura: F24000388
data: 2024-03-01
adreca: AGROMILLORA IBERIA, S.L.U.CARRER EL REBATO, S/N08739 - SUBIRATSBARCELONA
compte: ES5801825424570208001994
datavenciment: 2024-04-02
import: 361.79

numfactura: F24000391
data: 2024-03-01
adreca: BARDINET, S.A.CAMI CAN VALLS, S/N.08790 - GELIDABARCELONA
compte: ES4901825424580010064004
datavenciment: 2024-04-20
import: 908.48

numfactura: F24000394
data: 2024-03-02
adreca: ANTONI IZQUIERDO GOURMET SOCIEDAD LIMITADACARRETERA C-31,  SALIDA 328 ANTONIO IZQUIERDOMAS DELS ARCS GOURMET17230 - PALAMOSGIRONA
compte: ES9001820843060201628819
datavenciment: 2024-04-20
import: 889.18

numfactura: F24000395
data: 2024-03-02
adreca: BIOCONSERVACION, SAUCALLE DEL VAPOR,12POLÍGONO DEL REGAS08850 - GAVABARCELONA
compte: ES5400810008180001186524
datavenciment: 2024-04-20
import: 867.21

numfactura: F24000401
data: 2024-03-02
adreca: CLOUD MOUNTAIN, S.L.CARRER NARCIS MONTURIOL, 60, PLANTA 3ª. P. 1ª.08008 - BARCELONABARCELONA
compte: ES4168880001676328605300
datavenciment: 2024-04-20
import: 867.21

numfactura: F24000408
data: 2024-03-02
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-04-05
import: 610.22

numfactura: F24000409
data: 2024-03-02
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-04-05
import: 899.36

numfactura: F24000410
data: 2024-03-02
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-04-05
import: 1726.43

numfactura: F24000411
data: 2024-03-02
adreca: DE RIJKE TRANS. & LOGISTICA ESPAÑA, S.L.CARRER GORCS I LLADO, 109-121POL. IND. CAN SALVATELLA08210 - BARBERA DEL VALLES (BARCELONA)BARCELONA
compte: ES0600814195460001188223
datavenciment: 2024-04-05
import: 947.08

numfactura: F24000412
